Introducer,DeemedOn,IntroductionDate,LawNumber,ActNumber,DocumentUrl,LegislationNumber,Deemed,ShortTitle,LegislationStatus,Subcategory,CouncilPeriod,Id,CommitteeReferralComments,Category,Modified,CommitteeReferral
Chairman Mendelson at the request of the Mayor,,2020-03-06,,,http://lims.dccouncil.us/Download/44345/RC23-0164-Introduction.pdf,RC23-0164,,"Correspondence from the Mayor - DOES Office First Source Semi-Annual Report (July 1, 2018 – December 31, 2018)",Under Council Review,Other,23,44345,,Report,2020-03-06,
Chairman Mendelson at the request of the Mayor,,2020-03-05,,,http://lims.dccouncil.us/Download/44344/RC23-0163-Introduction.pdf,RC23-0163,,Correspondence from the Mayor - Report on Felony Crime in the District of Columbia for 2018,Under Council Review,Other,23,44344,,Report,2020-03-06,
Chairman Mendelson at the request of the Mayor,,2020-03-06,,,http://lims.dccouncil.us/Download/44346/RC23-0165-Introduction.pdf,RC23-0165,,Correspondence from the Mayor - DOES Office of Workers' Compensation: Annual Anti-Fraud Report 2019,Under Council Review,Other,23,44346,,Report,2020-03-06,
Chairman Mendelson at the request of the Mayor,,2020-03-06,,,http://lims.dccouncil.us/Download/44347/RC23-0166-Introduction.pdf,RC23-0166,,"Correspondence from the Mayor - DOES Office First Source Semi-Annual Report (January 1, 2019– June 30, 2019)",Under Council Review,Other,23,44347,,Report,2020-03-06,
Chairman Mendelson,,2020-03-05,,,http://lims.dccouncil.us/Download/44343/CFO23-0018-Introduction.pdf,CFO23-0018,,District of Columbia Unified Economic Development Budget Report: Fiscal Year 2019 Year-End,Under Council Review,Chief Financial Officer,23,44343,,Report,2020-03-05,
Chairman Mendelson,,2020-03-04,,,http://lims.dccouncil.us/Download/44340/ANC23-0057-Introduction.pdf,ANC23-0057,,ANC 2A Resolution in Support of Funding the Tipped Wage Workers Fairness Amendment Act of 2018,Under Council Review,Advisory Neighborhood Commission,23,44340,,Report,2020-03-04,
Chairman Mendelson,2020-03-14,2020-03-02,,,http://lims.dccouncil.us/Download/44342/CA23-0450-Introduction.pdf,CA23-0450,Approved,"Proposed contract to exercise Option Year Two (2) with The Robert Bobb Group, LLC ",Deemed Approved,Contract,23,44342,,Contract,2020-03-04,Retained by the Council
Councilmember Todd,,2020-02-26,,,http://lims.dccouncil.us/Download/44249/PR23-0720-Introduction.pdf,PR23-0720,,ROSA Loophole Elimination Emergency Declaration Resolution of 2020,Under Council Review,Emergency Declaration Resolution,23,44249,,Resolution,2020-03-04,Retained by the Council
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44324/B23-0691-Introduction.pdf,B23-0691,,"Contract No. DCAM-19-CS-RFQ-0001G and Modification No. 01 with Blue Skye Construction, LLC Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44324,,Bill,2020-03-04,Retained by the Council
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44323/PR23-0749-Introduction.pdf,PR23-0749,,"Contract No. DCAM-19-CS-RFQ-0001G and Modification No. 01 with Blue Skye Construction, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44323,,Resolution,2020-03-04,Retained by the Council
Chairman Mendelson at the Request of the Mayor,,2020-03-02,,,http://lims.dccouncil.us/Download/44318/RC23-0162-Introduction.pdf,RC23-0162,,"Correspondence from the Mayor- Report on Compliance Findings and Conclusions Line DC, Adams Morgan Hotel Project",Under Council Review,Other,23,44318,,Report,2020-03-03,
Chairman Mendelson,2020-03-13,2020-03-02,,,http://lims.dccouncil.us/Download/44321/CA23-0449-Introduction.pdf,CA23-0449,Approved,"Proposed contract with Conduent State & Local, Inc. ",Deemed Approved,Contract,23,44321,,Contract,2020-03-03,Retained by the Council
Chairman Mendelson,2020-03-17,2020-03-02,,,http://lims.dccouncil.us/Download/44317/REPROG23-0083-Introduction.pdf,REPROG23-0083,Approved,"Request to reprogram $17,014,153 in Capital Funds budget authority and allotment within the Department of General Services",Deemed Approved,Reprogramming,23,44317,,Reprogramming,2020-03-03,Retained by the Council
Chairman Mendelson,2020-03-13,2020-03-02,,,http://lims.dccouncil.us/Download/44319/CA23-0447-Introduction.pdf,CA23-0447,Approved,Proposed Human Care Agreement for Option Year One (1) with St. John's Community Services ,Deemed Approved,Contract,23,44319,,Contract,2020-03-03,Retained by the Council
Chairman Mendelson,2020-03-13,2020-03-02,,,http://lims.dccouncil.us/Download/44320/CA23-0448-Introduction.pdf,CA23-0448,Approved,"Proposed Human Care Agreement for Option Year Three (3) with Frontline Community Services, Inc. ",Deemed Approved,Contract,23,44320,,Contract,2020-03-03,Retained by the Council
Chairman Mendelson,2020-03-17,2020-03-02,,,http://lims.dccouncil.us/Download/44316/GBM23-0067-Introduction.pdf,GBM23-0067,Approved,"FY 2020 Grant Budget Modifications of February 6, 2020",Deemed Approved,Grant Budget Modification,23,44316,,Grant Budget Modification,2020-03-03,Retained by the Council
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44266/ANC23-0052-Introduction.pdf,ANC23-0052,,"ANC 2D Resolution Regarding the Need for a New, Permanent Facility for the DC Archives",Under Council Review,Advisory Neighborhood Commission,23,44266,,Report,2020-03-02,
Chairman Mendelson,,2020-02-27,,,http://lims.dccouncil.us/Download/44290/PR23-0741-Introduction.pdf,PR23-0741,,"Modification Nos. 5, 6, 7, 8, and 9 to Contract No. RM-17-HCA-SATSR-009-SII-BY4-CPS with Samaritan Inns, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44290,,Resolution,2020-03-02,Retained by the Council
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44303/AU23-0026-Introduction.pdf,AU23-0026,,2008 Clean Energy Law Spurs Progress But District Can Do More To Cut Emissions,Under Council Review,Auditor,23,44303,,Report,2020-03-02,
Chairman Mendelson at the request of the Mayor,,2020-03-02,,,http://lims.dccouncil.us/Download/44265/RC23-0161-Introduction.pdf,RC23-0161,,DOES Office of Workers' Compensation Annual Report Fiscal Year 2019,Under Council Review,Other,23,44265,,Report,2020-03-02,
Chairman Phil Mendelson,,2020-02-25,,,http://lims.dccouncil.us/Download/44263/AU23-0025-Introduction.pdf,AU23-0025,,Earmark Review: DMPED Can Improve Grant Management,Under Council Review,Auditor,23,44263,,Report,2020-03-02,
Chairman Mendelson,,2020-02-28,,,http://lims.dccouncil.us/Download/44264/CFO23-0017-Introduction.pdf,CFO23-0017,,Central Collections Unit 2019 Annual Report ,Under Council Review,Chief Financial Officer,23,44264,,Report,2020-03-02,
Chairman Mendelson,,2020-02-26,,,http://lims.dccouncil.us/Download/44258/ANC23-0051-Introduction.pdf,ANC23-0051,,"ANC 2B Resolution Regarding a New, Permanent Facility for the DC Archives ",Under Council Review,Advisory Neighborhood Commission,23,44258,,Report,2020-02-28,
Chairman Mendelson,,2020-02-26,,,http://lims.dccouncil.us/Download/44257/ANC23-0050-Introduction.pdf,ANC23-0050,,"ANC 2A Resolution Regarding a New, Permanent Facility for the DC Archives",Under Council Review,Advisory Neighborhood Commission,23,44257,,Report,2020-02-28,
Chairman Mendelson,2020-04-12,2020-02-27,,,http://lims.dccouncil.us/Download/44262/CA23-0442-Introduction.pdf,CA23-0442,Disapproved,Proposed multiyear contract with Milberg Phillips Grossman LLP and Evangelista Worley LLC ,Under Council Review,Contract,23,44262,,Contract,2020-02-28,Retained by the Council
Chairman Mendelson at the request of the Mayor,,2020-02-28,,,http://lims.dccouncil.us/Download/44259/RC23-0158-Introduction.pdf,RC23-0158,,"Correspondence from the Mayor - CFSA Grandparent Caregivers Program: Annual Status Report, CY2019",Under Council Review,Other,23,44259,,Report,2020-02-28,
Chairman Mendelson at the request of the Mayor,,2020-02-28,,,http://lims.dccouncil.us/Download/44260/RC23-0159-Introduction.pdf,RC23-0159,,Correspondence from the Mayor - CFSA Office of the Ombudsman Annual Report: Foster Youth and Foster Parent Statements of Rights and Responsibilities Annual Status Report 2019,Under Council Review,Other,23,44260,,Report,2020-02-28,
Chairman Mendelson at the Request of the Mayor,,2020-02-28,,,http://lims.dccouncil.us/Download/44261/RC23-0160-Introduction.pdf,RC23-0160,,Correspondence from the Mayor - CFSA Annual Public Report FY19,Under Council Review,Other,23,44261,,Report,2020-02-28,
Councilmember T. White,,2020-02-27,,,http://lims.dccouncil.us/Download/44256/B23-0675-Introduction.pdf,B23-0675,,Reunion Square Tax Increment Financing Emergency Act of 2020,Under Council Review,Emergency Bill,23,44256,,Bill,2020-02-27,Retained by the Council
Councilmember T. White,,2020-02-27,,,http://lims.dccouncil.us/Download/44255/PR23-0722-Introduction.pdf,PR23-0722,,Reunion Square Tax Increment Financing Emergency Declaration Resolution of 2020,Under Council Review,Emergency Declaration Resolution,23,44255,,Resolution,2020-02-27,Retained by the Council
Chairman Mendelson at the request of Events DC,,2020-02-21,,,http://lims.dccouncil.us/Download/44228/AU23-0024-Introduction.pdf,AU23-0024,,Washington Convention and Sports Authority's Operations and Performance Metrics During Fiscal Year 2019,Under Council Review,Auditor,23,44228,,Report,2020-02-24,
