WithdrawnBy,VendorName,PlaceOfIntroduction,MemoLink,DateRead,AdditionalInformation,RereferralCommitteeComments,ReIntroducer,LawNumber,IntroductionDate,Subcategory,Modified,RequestOf,CommitteeReferralComments,LegislationNumber,LegislationStatus,DocumentUrl,ActNumber,Deemed,CouncilPeriod,Category,WithDrawnDate,CommitteeReferral,ReReferralDate,ReReferralPublishedDate,Introducer,ShortTitle,PlaceRead,IsRereferred,AgendaDate,Id,RereferralCommittee,PublicationDate,ReCoSponsor,DeemedOn
,,Office of the Secretary,http://lims.dccouncil.us/Download/41951/B23-0163_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0163,Under Mayoral Review,http://lims.dccouncil.us/Download/41951/B23-0163-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025D with Keystone Plus Construction Corporation Approval and Payment Authorization Emergency Act of 2019,Legislative Meeting,False,,41951.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41949/B23-0162_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0162,Under Mayoral Review,http://lims.dccouncil.us/Download/41949/B23-0162-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025H with General Services, Inc. Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41949.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41947/B23-0161_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0161,Under Mayoral Review,http://lims.dccouncil.us/Download/41947/B23-0161-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025C with Paige Industrial Services, Inc. Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41947.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41945/B23-0160_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0160,Under Mayoral Review,http://lims.dccouncil.us/Download/41945/B23-0160-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025E with WKM Solutions, LLC Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41945.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41943/B23-0159_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0159,Under Mayoral Review,http://lims.dccouncil.us/Download/41943/B23-0159-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025B with Micon Construction, Inc. Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41943.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41941/B23-0158_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0158,Under Mayoral Review,http://lims.dccouncil.us/Download/41941/B23-0158-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025L with Corenic Construction Group, LLC Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41941.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41939/B23-0157_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0157,Under Mayoral Review,http://lims.dccouncil.us/Download/41939/B23-0157-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 5 and 6 to Contract No. DCAM-17-CS-0025J with Blue Skye Construction, LLC Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41939.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41937/B23-0156_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,Committee on Facilities and Procurement and Committee on Education,B23-0156,Under Mayoral Review,http://lims.dccouncil.us/Download/41937/B23-0156-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Change Order Nos. 11 and 12 to Contract No. DCAM-17-CS-0074 with MCN Build, Inc. Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41937.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41935/B23-0155_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0155,Under Mayoral Review,http://lims.dccouncil.us/Download/41935/B23-0155-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 6 and 7 to Contract No. DCAM-17-CS-0025G with Chiaramonte Construction Company Approval and Payment Authorization Emergency Act of 2019,Legislative Meeting,False,,41935.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41933/B23-0154_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0154,Under Mayoral Review,http://lims.dccouncil.us/Download/41933/B23-0154-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025F with Broughton Construction Company, LLC Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41933.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41931/B23-0153_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0153,Under Mayoral Review,http://lims.dccouncil.us/Download/41931/B23-0153-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025K with DC General Construction, Inc. Approval and Payment Authorization Emergency Act of 2019",Legislative Meeting,False,,41931.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41929/B23-0152_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0152,Under Mayoral Review,http://lims.dccouncil.us/Download/41929/B23-0152-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025A with Hard Light Consulting Group Approval and Payment Authorization Emergency Act of 2019,Legislative Meeting,False,,41929.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41884/B23-0142_Memorandum.pdf,2019-02-19,,,,,2019-02-13,Emergency Bill,2019-03-18,the Mayor,Committee on Facilities and Procurement,B23-0142,Under Mayoral Review,http://lims.dccouncil.us/Download/41884/B23-0142-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modifications Nos. 3 and 4 to Contract No. DCAM-17-CS-0025M with Columbia  Enterprises, Inc. Approval and Payment Authorization Emergency Act of 2019",Committee of the Whole,False,,41884.0,,,,
,Petworth Station LP ,Office of the Secretary,http://lims.dccouncil.us/Download/42068/CA23-0042_Memorandum.pdf,,"The attached proposed loan agreement between the Department of Housing and Community Development (DHCD) and Petworth Station LP from the Housing Production Trust Fund (HPTF) in the amount of $7,972,536 to fund the acquisition predevelopment, rehabilitation and eligible new construction costs associated with (84) units of affordable rental units located at 930, 940 and 960 Randolph Street N.W., Washington, D.C., in Ward 4 was filed in the Office of the Secretary on March 14, 2019.    

The Council's ten day review begins Friday, March 15, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Monday, March 25, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-14,Contract,2019-03-18,the Mayor,Committee on Housing and Neighborhood Revitalization,CA23-0042,New,http://lims.dccouncil.us/Download/42068/CA23-0042-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Petworth Station LP ,,False,,42068.0,,,,2019-03-25
